"Year","Temp","Carryover","TDM"
1965,54,"0800",0.000841431561747127
1966,54,"0800",0.00257086908217514
1967,54,"0800",0.00272704655244694
1968,54,"0800",0.0399079232972628
1969,54,"0800",0.00219918751547551
1970,54,"0800",7.25344186933343e-05
1971,54,"0800",7.31944749715633e-06
1972,54,"0800",0.00879415860574457
1973,54,"0800",5.24519409392399e-06
1974,54,"0800",0
1975,54,"0800",7.98254882130876e-06
1976,54,"0800",0.99165566731385
1977,54,"0800",0.999472841707629
1978,54,"0800",0.00169292414577034
1979,54,"0800",0.678964083277192
1980,54,"0800",0.000827446186932464
1981,54,"0800",0.714047520455374
1982,54,"0800",0.0233635258449827
1983,54,"0800",0.000180959331135301
1984,54,"0800",1.16214454460705e-05
1985,54,"0800",0.864718775325387
1986,54,"0800",0.0201020833443927
1987,54,"0800",0.963223971100078
1988,54,"0800",0.954953684645064
1989,54,"0800",0.30396492404933
1990,54,"0800",0.997829537827604
1991,54,"0800",0.994557674672339
1992,54,"0800",0.987920812768537
1993,54,"0800",0.00427645246047051
1994,54,"0800",0.995551235727101
1995,54,"0800",0.00164526948836429
1996,54,"0800",0.000255700491837677
1997,54,"0800",6.87855779775589e-05
1998,54,"0800",1.91044617874675e-05
1999,54,"0800",0.00196609249398221
2000,54,"0800",0.000205057944880149
2001,54,"0800",0.942174482747911
2002,54,"0800",0.00400079327306654
1922,55,"0800",0.0698860358609163
1923,55,"0800",0.82365674869106
1924,55,"0800",0.999145292532807
1925,55,"0800",0.0278946552061667
1926,55,"0800",0.845329797759032
1927,55,"0800",0.00650482595761145
1928,55,"0800",0.146619414714923
1929,55,"0800",0.99615823375906
1930,55,"0800",0.0798400328078606
1931,55,"0800",0.999570864271265
1932,55,"0800",0.155578067484399
1933,55,"0800",0.986764379066642
1934,55,"0800",0.968566380190013
1935,55,"0800",0.0227072715287201
1936,55,"0800",0.0392795241346628
1937,55,"0800",0.121262944931835
1938,55,"0800",0.0299041693817768
1939,55,"0800",0.997394933670967
1940,55,"0800",0.00364471885914629
1941,55,"0800",0.011670026358716
1942,55,"0800",0.0144642319816576
1943,55,"0800",0.0137574503716876
1944,55,"0800",0.887793478150264
1945,55,"0800",0.0614220632346614
1946,55,"0800",0.0431734312035455
1947,55,"0800",0.882251198769735
1948,55,"0800",0.118879639995656
1949,55,"0800",0.0854117901379518
1950,55,"0800",0.188232821801878
1951,55,"0800",0.00882696167948012
1952,55,"0800",0.0434782459465171
1953,55,"0800",0.0114635540745137
1954,55,"0800",0.00610291150609211
1955,55,"0800",0.182767203482342
1956,55,"0800",0.0298001163326037
1957,55,"0800",0.0822212879369469
1958,55,"0800",0.0209913734426447
1959,55,"0800",0.579671504055702
1960,55,"0800",0.197998359516514
1961,55,"0800",0.0827682744172729
1962,55,"0800",0.0899313731529285
1963,55,"0800",0.0101908603067857
1964,55,"0800",0.7821335465289
1965,55,"0800",0.0296501750957311
1966,55,"0800",0.0492294394145099
1967,55,"0800",0.0548668466735259
1968,55,"0800",0.0961845701920618
1969,55,"0800",0.0236005195494854
1970,55,"0800",0.00449968083589825
1971,55,"0800",0.0175901199745598
1972,55,"0800",0.0365202317639288
1973,55,"0800",0.0119312927736226
1974,55,"0800",0.00998584417897733
1975,55,"0800",0.0116275314724395
1976,55,"0800",0.987966829254394
1977,55,"0800",0.999252311760519
1978,55,"0800",0.0180634485274922
1979,55,"0800",0.492389751490408
1980,55,"0800",0.0132079626492043
1981,55,"0800",0.478185787239549
1982,55,"0800",0.114043517410923
1983,55,"0800",0.0365023075259225
1984,55,"0800",0.00999456977325912
1985,55,"0800",0.742020974699435
1986,55,"0800",0.0840031560227232
1987,55,"0800",0.933307509660958
1988,55,"0800",0.92040396691581
1989,55,"0800",0.103146614329303
1990,55,"0800",0.997293594242871
1991,55,"0800",0.992183353006877
1992,55,"0800",0.978711857477775
1993,55,"0800",0.064904743264125
1994,55,"0800",0.994454907670595
1995,55,"0800",0.0475421270606573
1996,55,"0800",0.0384987398501779
1997,55,"0800",0.0168767057535499
1998,55,"0800",0.00354899551574597
1999,55,"0800",0.0265592010835581
2000,55,"0800",0.0155913099315505
2001,55,"0800",0.895285070757369
2002,55,"0800",0.0464879748875196
1922,53,"1000",0.488861595186276
1923,53,"1000",0.932939786763166
1924,53,"1000",0.999512965171883
1925,53,"1000",0
1926,53,"1000",0.909002773078255
1927,53,"1000",0
1928,53,"1000",0.577391338991757
1929,53,"1000",0.996413899542167
1930,53,"1000",0.0928167420201021
1931,53,"1000",0.999660723027629
1932,53,"1000",0.546185154505472
1933,53,"1000",0.989492475899975
1934,53,"1000",0.974841723124121
1935,53,"1000",0
1936,53,"1000",0
1937,53,"1000",0.619867661449553
1938,53,"1000",0
1939,53,"1000",0.997963682951552
1940,53,"1000",0.18218234638096
1941,53,"1000",0
1942,53,"1000",0
1943,53,"1000",0
1944,53,"1000",0.919484143640747
1945,53,"1000",0.000464305294793063
1946,53,"1000",0.000137317918574545
1947,53,"1000",0.947028391635777
1948,53,"1000",0.000329917085831373
1949,53,"1000",0.151545210081133
1950,53,"1000",0.541908753674921
1951,53,"1000",4.95521836061451e-05
1952,53,"1000",0
1953,53,"1000",0
1954,53,"1000",0
1955,53,"1000",0.581481866736119
1956,53,"1000",4.37022416217457e-07
1957,53,"1000",0.0010029213537848
1958,53,"1000",4.97882207411111e-05
1959,53,"1000",0.881855095442773
1960,53,"1000",0.710504533495975
1961,53,"1000",0.0488684131158366
1962,53,"1000",0.00095828979437419
1963,53,"1000",6.13909779216959e-06
1964,53,"1000",0.87501309085406
1965,53,"1000",0
1966,53,"1000",0.0076864710865728
1967,53,"1000",0
1968,53,"1000",0.131455756800702
1969,53,"1000",0
1970,53,"1000",0.000714502442161829
1971,53,"1000",0
1972,53,"1000",0.0459124965291779
1973,53,"1000",0
1974,53,"1000",0
1975,53,"1000",0
1976,53,"1000",0.984587967586862
1977,53,"1000",0.999565553789317
1978,53,"1000",0
1979,53,"1000",0.749710431374029
1980,53,"1000",0
1981,53,"1000",0.817999204226588
1982,53,"1000",0.00537379229133895
1983,53,"1000",0
1984,53,"1000",0
1985,53,"1000",0.87690325621444
1986,53,"1000",0.000949245938816582
1987,53,"1000",0.976509059855164
1988,53,"1000",0.960414022162423
1989,53,"1000",0.576125458148654
1990,53,"1000",0.997603757721882
1991,53,"1000",0.994025265339952
1992,53,"1000",0.984114060349093
1993,53,"1000",1.00152160612591e-05
1994,53,"1000",0.994743391705756
1995,53,"1000",0
1996,53,"1000",0
1997,53,"1000",0.0119909684289983
1998,53,"1000",0.00746241174686905
1999,53,"1000",0
2000,53,"1000",0.053427385523263
2001,53,"1000",0.965018441296249
2002,53,"1000",0.000231794071268623
1922,54,"1000",0.0810893704715233
1923,54,"1000",0.860526357219545
1924,54,"1000",0.999406370588555
1925,54,"1000",6.49551148911244e-05
1926,54,"1000",0.820465742485781
1927,54,"1000",3.61177402717075e-05
1928,54,"1000",0.337231600774482
1929,54,"1000",0.995537206929495
1930,54,"1000",0.012111766476725
1931,54,"1000",0.999621214435132
1932,54,"1000",0.126364333377236
1933,54,"1000",0.985002377731145
1934,54,"1000",0.954903852660098
1935,54,"1000",0.00289842929185625
1936,54,"1000",0.000563736958947278
1937,54,"1000",0.316991037892037
1938,54,"1000",0.000582253055945399
1939,54,"1000",0.99718579231675
1940,54,"1000",0.00811065513576022
1941,54,"1000",1.25944567855243e-06
1942,54,"1000",0.000955296236170986
1943,54,"1000",0.000261671729081745
1944,54,"1000",0.855394112484162
1945,54,"1000",0.00467719414036382
1946,54,"1000",0.00312682315427746
1947,54,"1000",0.892731928313435
1948,54,"1000",0.0230102096768603
1949,54,"1000",0.00927948817989392
1950,54,"1000",0.167397673843458
1951,54,"1000",0.000691327842116071
1952,54,"1000",0.00186847493353101
1953,54,"1000",0.00123880546571309
1954,54,"1000",1.26625408450476e-05
1955,54,"1000",0.124721829264663
1956,54,"1000",0.00105793426239147
1957,54,"1000",0.0120887558095792
1958,54,"1000",0.000917671728111535
1959,54,"1000",0.761622963465413
1960,54,"1000",0.349071617626702
1961,54,"1000",0.0134213238810774
1962,54,"1000",0.0119760199219714
1963,54,"1000",0.00018608937568063
1964,54,"1000",0.766211266251723
1965,54,"1000",8.06471579954978e-05
1966,54,"1000",0.00511522743923456
1967,54,"1000",0.0021734725447482
1968,54,"1000",0.00839931488439552
1969,54,"1000",0.00115179778463508
1970,54,"1000",8.4371281573363e-05
1971,54,"1000",9.64004321370985e-05
1972,54,"1000",0.0076082777025655
1973,54,"1000",7.59389449296813e-06
1974,54,"1000",9.04899007345802e-05
1975,54,"1000",0
1976,54,"1000",0.9743750243808
1977,54,"1000",0.999462835688237
1978,54,"1000",0.00169325866435796
1979,54,"1000",0.562688176539492
1980,54,"1000",0.000322316731233273
1981,54,"1000",0.652049212882616
1982,54,"1000",0.0398001146504818
1983,54,"1000",0.00024315531802354
1984,54,"1000",0
1985,54,"1000",0.757956983187374
1986,54,"1000",0.0121341270871199
1987,54,"1000",0.950404507752244
1988,54,"1000",0.916267309002799
1989,54,"1000",0.146714668284511
1990,54,"1000",0.997203128175858
1991,54,"1000",0.991835085809623
1992,54,"1000",0.974759556001144
1993,54,"1000",0.00417149886180223
1994,54,"1000",0.991932531767285
1995,54,"1000",0.00182944295434448
1996,54,"1000",0.00032518338678195
1997,54,"1000",8.29584251089626e-06
1998,54,"1000",1.98564300931888e-05
1999,54,"1000",0.00227587432345794
2000,54,"1000",0.000266290330683788
2001,54,"1000",0.925219843705812
2002,54,"1000",0.00172946690375696
1922,55,"1000",0.0578162436445727
1923,55,"1000",0.737229835329417
1924,55,"1000",0.99916838588265
1925,55,"1000",0.016157187349501
1926,55,"1000",0.682245270636101
1927,55,"1000",0.00709170816148618
1928,55,"1000",0.0930426666107301
1929,55,"1000",0.994698187270794
1930,55,"1000",0.0578936140626834
1931,55,"1000",0.999471135702337
1932,55,"1000",0.131606506212529
1933,55,"1000",0.977704804528159
1934,55,"1000",0.927159502626217
1935,55,"1000",0.0235807103339902
1936,55,"1000",0.0449640280277038
1937,55,"1000",0.0847343953716925
1938,55,"1000",0.0236172221799863
1939,55,"1000",0.996327684847908
1940,55,"1000",0.0050207549442568
1941,55,"1000",0.00892755212908889
1942,55,"1000",0.0166008643419959
1943,55,"1000",0.0135564037157663
1944,55,"1000",0.756199035961585
1945,55,"1000",0.0842581968243066
1946,55,"1000",0.0410072519837216
1947,55,"1000",0.786323477675763
1948,55,"1000",0.136928794584725
1949,55,"1000",0.063380282158121
1950,55,"1000",0.106197005057216
1951,55,"1000",0.00802269441840091
1952,55,"1000",0.0428911731418257
1953,55,"1000",0.0131880765052279
1954,55,"1000",0.00705583016216937
1955,55,"1000",0.122013115568358
1956,55,"1000",0.0272803121450615
1957,55,"1000",0.0741752077220952
1958,55,"1000",0.0177656059687817
1959,55,"1000",0.448549123777728
1960,55,"1000",0.136539674767126
1961,55,"1000",0.0627397527583615
1962,55,"1000",0.0613330083041275
1963,55,"1000",0.0102533078530586
1964,55,"1000",0.582697408410464
1965,55,"1000",0.015433255813797
1966,55,"1000",0.0476260220155184
1967,55,"1000",0.0519900628222185
1968,55,"1000",0.0603411910021485
1969,55,"1000",0.0179434475797026
1970,55,"1000",0.00719321500046847
1971,55,"1000",0.0261874379431065
1972,55,"1000",0.0461019011298151
1973,55,"1000",0.00738513103174933
1974,55,"1000",0.0105946978934217
1975,55,"1000",0.0156454829640645
1976,55,"1000",0.952032377900581
1977,55,"1000",0.999214872218353
1978,55,"1000",0.0150479810108319
1979,55,"1000",0.293338687665956
1980,55,"1000",0.0095563585301302
1981,55,"1000",0.370316838679187
1982,55,"1000",0.117692533874168
1983,55,"1000",0.0290033707082913
1984,55,"1000",0.00601636258430843
1985,55,"1000",0.484101473442579
1986,55,"1000",0.0622888697717624
1987,55,"1000",0.907597399917354
1988,55,"1000",0.859681250548497
1989,55,"1000",0.0921984715574798
1990,55,"1000",0.996343214902898
1991,55,"1000",0.989114978215859
1992,55,"1000",0.953860295838732
1993,55,"1000",0.0635872963430759
1994,55,"1000",0.988346259980706
1995,55,"1000",0.0510703793066898
1996,55,"1000",0.0246079884511987
1997,55,"1000",0.0200423234031275
1998,55,"1000",0.00281110118620529
1999,55,"1000",0.0208256882385151
2000,55,"1000",0.0157874210091985
2001,55,"1000",0.871026496743427
2002,55,"1000",0.064912908351344
1922,53,"1200",0.167841210764831
1923,53,"1200",0.812583526665465
1924,53,"1200",0.998875619141509
1925,53,"1200",0
1926,53,"1200",0.738122520999109
1927,53,"1200",0
1928,53,"1200",0.382000206424581
1929,53,"1200",0.985008076563701
1930,53,"1200",0.000112179299653296
1931,53,"1200",0.997146733342306
1932,53,"1200",0.0306728944167599
1933,53,"1200",0.951935714315827
1934,53,"1200",0.844901030482272
1935,53,"1200",0
1936,53,"1200",0
1937,53,"1200",0.364876098994594
1938,53,"1200",0
1939,53,"1200",0.98748139468678
1940,53,"1200",0.197408354213524
1941,53,"1200",0
1942,53,"1200",0
1943,53,"1200",0
1944,53,"1200",0.72688521487648
1945,53,"1200",0.00014341985255866
1946,53,"1200",6.16602875592549e-05
1947,53,"1200",0.829529136872545
1948,53,"1200",0.000152405594311286
1949,53,"1200",1.48840869703105e-05
1950,53,"1200",0.049785211081229
1951,53,"1200",1.53382038555089e-05
1952,53,"1200",0
1953,53,"1200",0
1954,53,"1200",0
1955,53,"1200",0.0213584979977056
1956,53,"1200",1.03291048963488e-06
1957,53,"1200",0
1958,53,"1200",5.16035591589431e-05
1959,53,"1200",0.784117498817425
1960,53,"1200",0.417199881971744
1961,53,"1200",0
1962,53,"1200",0.000519431746115261
1963,53,"1200",2.74240955906922e-06
1964,53,"1200",0.64212375995991
1965,53,"1200",0
1966,53,"1200",0
1967,53,"1200",0
1968,53,"1200",0.178824661741014
1969,53,"1200",0
1970,53,"1200",0
1971,53,"1200",0
1972,53,"1200",0.00111193587210252
1973,53,"1200",0
1974,53,"1200",0
1975,53,"1200",0
1976,53,"1200",0.942549666544888
1977,53,"1200",0.999508339959975
1978,53,"1200",0
1979,53,"1200",0.4480636930581
1980,53,"1200",0
1981,53,"1200",0.389983396121869
1982,53,"1200",0.00486198386975625
1983,53,"1200",0
1984,53,"1200",0
1985,53,"1200",0.683933684940727
1986,53,"1200",0.000112008626958861
1987,53,"1200",0.876388850869074
1988,53,"1200",0.840371674702921
1989,53,"1200",0.323236555557465
1990,53,"1200",0.979594416943456
1991,53,"1200",0.983361610419789
1992,53,"1200",0.937644719339787
1993,53,"1200",0
1994,53,"1200",0.977264913628427
1995,53,"1200",0
1996,53,"1200",0
1997,53,"1200",0.00220618368417564
1998,53,"1200",0.00516336161460078
1999,53,"1200",0
2000,53,"1200",0.0283023615993927
2001,53,"1200",0.855792871942569
2002,53,"1200",0.00136031171756056
1922,54,"1200",0.00485880558188572
1923,54,"1200",0.650587218297215
1924,54,"1200",0.998640394891038
1925,54,"1200",2.28351878201556e-06
1926,54,"1200",0.451758941017041
1927,54,"1200",0.000345993691888157
1928,54,"1200",0.121747240985138
1929,54,"1200",0.977316265199758
1930,54,"1200",0.00359470604638828
1931,54,"1200",0.996311047481996
1932,54,"1200",0.0171613383754886
1933,54,"1200",0.908602109056437
1934,54,"1200",0.732786123799463
1935,54,"1200",0.000395755689410644
1936,54,"1200",9.18716791262313e-05
1937,54,"1200",0.00698034332737133
1938,54,"1200",9.13726298209365e-05
1939,54,"1200",0.982765122880971
1940,54,"1200",0.00945226303440666
1941,54,"1200",1.78980031788684e-06
1942,54,"1200",7.757397630507e-05
1943,54,"1200",6.78568931610991e-05
1944,54,"1200",0.419184525106758
1945,54,"1200",0.0037464445498258
1946,54,"1200",0.00245081009340451
1947,54,"1200",0.69247465864488
1948,54,"1200",0.0111610107014958
1949,54,"1200",0.00427779902213889
1950,54,"1200",0.0336301787477776
1951,54,"1200",0.000113741570042203
1952,54,"1200",0.00155038288503406
1953,54,"1200",0.00319301398975989
1954,54,"1200",1.45520372543498e-05
1955,54,"1200",0.0242443720206618
1956,54,"1200",0.000769885848628435
1957,54,"1200",0.00922195349155978
1958,54,"1200",0.000947070249916385
1959,54,"1200",0.527520930315558
1960,54,"1200",0.0394915203075352
1961,54,"1200",0.00580435566633408
1962,54,"1200",0.00955037609950465
1963,54,"1200",0.000211656554280484
1964,54,"1200",0.280991728233209
1965,54,"1200",9.90610598705171e-05
1966,54,"1200",0.0046759574918809
1967,54,"1200",0.00308177572388142
1968,54,"1200",0.0101566588176256
1969,54,"1200",0.000467520570932412
1970,54,"1200",0.000114721817430202
1971,54,"1200",0.00029120463310475
1972,54,"1200",0.00205321549274614
1973,54,"1200",7.39454847812937e-06
1974,54,"1200",0.000202869661027492
1975,54,"1200",0
1976,54,"1200",0.87412208389947
1977,54,"1200",0.999409546170605
1978,54,"1200",0.00195106224684637
1979,54,"1200",0.0614919881926409
1980,54,"1200",7.2235992355226e-05
1981,54,"1200",0.0365430522234201
1982,54,"1200",0.0422315619970044
1983,54,"1200",0.000202475479353116
1984,54,"1200",1.40965502967862e-05
1985,54,"1200",0.304148728576498
1986,54,"1200",0.00270511792697697
1987,54,"1200",0.751671438249575
1988,54,"1200",0.689368262475531
1989,54,"1200",0.00509243406897768
1990,54,"1200",0.963490142129053
1991,54,"1200",0.979644688917037
1992,54,"1200",0.889363341943123
1993,54,"1200",0.00103049397735661
1994,54,"1200",0.960686444568838
1995,54,"1200",0.0034161601750619
1996,54,"1200",0.000337418699506082
1997,54,"1200",8.18189571825106e-06
1998,54,"1200",0
1999,54,"1200",0.00257966579000272
2000,54,"1200",0.00089089091907379
2001,54,"1200",0.716113474791302
2002,54,"1200",0.00828339437480243
1922,55,"1200",0.0743190420608891
1923,55,"1200",0.282373476755382
1924,55,"1200",0.998213860738896
1925,55,"1200",0.0155632058734797
1926,55,"1200",0.165092595293329
1927,55,"1200",0.00698886806222524
1928,55,"1200",0.0102221617677142
1929,55,"1200",0.964797243631881
1930,55,"1200",0.059332258134791
1931,55,"1200",0.995352170928378
1932,55,"1200",0.102343954678254
1933,55,"1200",0.842744811312553
1934,55,"1200",0.523532429607041
1935,55,"1200",0.0200842933001353
1936,55,"1200",0.0470997412798295
1937,55,"1200",0.101572681000187
1938,55,"1200",0.00681811294899216
1939,55,"1200",0.974180826629435
1940,55,"1200",0.00531587557625758
1941,55,"1200",0.00922577787763401
1942,55,"1200",0.0154530963825525
1943,55,"1200",0.0134494389061866
1944,55,"1200",0.184840453352975
1945,55,"1200",0.0638784343516947
1946,55,"1200",0.0406559497605907
1947,55,"1200",0.342112074033507
1948,55,"1200",0.0747555591083924
1949,55,"1200",0.0349235971479657
1950,55,"1200",0.121244676086921
1951,55,"1200",0.00564689652466235
1952,55,"1200",0.0424565141924924
1953,55,"1200",0.0141158250163297
1954,55,"1200",0.00646337021401235
1955,55,"1200",0.0959021011494609
1956,55,"1200",0.027630937118663
1957,55,"1200",0.059276217219375
1958,55,"1200",0.0225619813664363
1959,55,"1200",0.114345874406577
1960,55,"1200",0.0610679811291833
1961,55,"1200",0.0308469107319419
1962,55,"1200",0.0675766700196446
1963,55,"1200",0.00788911908296446
1964,55,"1200",0.115546387578596
1965,55,"1200",0.0135382637897164
1966,55,"1200",0.0543054181946366
1967,55,"1200",0.0538302569165963
1968,55,"1200",0.0566863650578857
1969,55,"1200",0.0159955870001502
1970,55,"1200",0.0082758847635339
1971,55,"1200",0.0155065453074537
1972,55,"1200",0.0638598734385811
1973,55,"1200",0.00315007688492485
1974,55,"1200",0.0123744278694393
1975,55,"1200",0.0213081591519528
1976,55,"1200",0.763248640075746
1977,55,"1200",0.999130510313369
1978,55,"1200",0.0121534228262699
1979,55,"1200",0.148481210972674
1980,55,"1200",0.00742140213770409
1981,55,"1200",0.115299805642768
1982,55,"1200",0.115624318004064
1983,55,"1200",0.0351545867137463
1984,55,"1200",0.00898426669543858
1985,55,"1200",0.100460794555058
1986,55,"1200",0.0410396513833524
1987,55,"1200",0.510090968445504
1988,55,"1200",0.387056890893018
1989,55,"1200",0.100807218537371
1990,55,"1200",0.923619108049716
1991,55,"1200",0.969732281291222
1992,55,"1200",0.783204992279126
1993,55,"1200",0.0542933400148577
1994,55,"1200",0.928948803518757
1995,55,"1200",0.0359740349329863
1996,55,"1200",0.0239085590235604
1997,55,"1200",0.00995048650732773
1998,55,"1200",0.00202807659052101
1999,55,"1200",0.0188968637277784
2000,55,"1200",0.020965477015508
2001,55,"1200",0.406059176838542
2002,55,"1200",0.0608310254193355
1922,53,"1300",0.0445755486938049
1923,53,"1300",0.768318991134522
1924,53,"1300",0.998309275338117
1925,53,"1300",0
1926,53,"1300",0.748566303854238
1927,53,"1300",0
1928,53,"1300",0.302572119917925
1929,53,"1300",0.981328453847357
1930,53,"1300",7.35852042454044e-07
1931,53,"1300",0.995988004748986
1932,53,"1300",0.00975036070635217
1933,53,"1300",0.935330704609915
1934,53,"1300",0.790117887087487
1935,53,"1300",0
1936,53,"1300",0
1937,53,"1300",0.29581940367769
1938,53,"1300",0
1939,53,"1300",0.983601179471867
1940,53,"1300",0.15520886681295
1941,53,"1300",0
1942,53,"1300",0
1943,53,"1300",0
1944,53,"1300",0.699132095257515
1945,53,"1300",0.000122555871040561
1946,53,"1300",5.70981046842729e-05
1947,53,"1300",0.801536061616163
1948,53,"1300",0
1949,53,"1300",1.6683057175348e-05
1950,53,"1300",0.0293542756623122
1951,53,"1300",3.93920898032993e-06
1952,53,"1300",0
1953,53,"1300",0
1954,53,"1300",0
1955,53,"1300",0.00646597795845095
1956,53,"1300",1.28269176122249e-06
1957,53,"1300",8.4786142330993e-05
1958,53,"1300",7.62995952198655e-05
1959,53,"1300",0.570064306108349
1960,53,"1300",0.352342911497183
1961,53,"1300",0
1962,53,"1300",0.000463129854994792
1963,53,"1300",3.66880939839469e-06
1964,53,"1300",0.63595371041713
1965,53,"1300",0
1966,53,"1300",0
1967,53,"1300",0
1968,53,"1300",0.0839731201249591
1969,53,"1300",0
1970,53,"1300",0
1971,53,"1300",0
1972,53,"1300",4.21706066055473e-05
1973,53,"1300",0
1974,53,"1300",0
1975,53,"1300",0
1976,53,"1300",0.911141899907254
1977,53,"1300",0.99952714697898
1978,53,"1300",0
1979,53,"1300",0.371951516836308
1980,53,"1300",0
1981,53,"1300",0.34206082257027
1982,53,"1300",0.00124041137746539
1983,53,"1300",0
1984,53,"1300",0
1985,53,"1300",0.696113332712631
1986,53,"1300",0
1987,53,"1300",0.799896019062009
1988,53,"1300",0.807194767517609
1989,53,"1300",0.279228779389044
1990,53,"1300",0.969477932931829
1991,53,"1300",0.974946301041464
1992,53,"1300",0.946914774653306
1993,53,"1300",0.000404339665563806
1994,53,"1300",0.968102195690414
1995,53,"1300",0
1996,53,"1300",0
1997,53,"1300",0.00314335079504867
1998,53,"1300",0.00531955288882703
1999,53,"1300",0
2000,53,"1300",0.0361309665808766
2001,53,"1300",0.807217517301807
2002,53,"1300",0.0013476977537872
1922,54,"1300",0.000794448390137734
1923,54,"1300",0.515637022925081
1924,54,"1300",0.998031407312514
1925,54,"1300",0
1926,54,"1300",0.490471346104525
1927,54,"1300",0.000369877242983892
1928,54,"1300",0.0671667572164071
1929,54,"1300",0.971671021330443
1930,54,"1300",0.00492161259847999
1931,54,"1300",0.994912126586238
1932,54,"1300",0.0103762034237812
1933,54,"1300",0.878015324461118
1934,54,"1300",0.594320643031447
1935,54,"1300",0.000428201680771048
1936,54,"1300",0.000510092008900119
1937,54,"1300",0.0098109271898515
1938,54,"1300",9.45202828454013e-05
1939,54,"1300",0.975351621553643
1940,54,"1300",0.00289178484621116
1941,54,"1300",2.36100158255343e-06
1942,54,"1300",0.000605281641348562
